Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Autonomia Máxima,Registo(s),Livro de Revisões completo,Inspecção válida até,IUC,Consumo Combinado,Sub-modelo,Filtro de partículas,Autonomia,Consumo,Garantia de Fábrica até,ou até,IVA Discriminado,Capacidade da bateria,Bateria,Clássico,Gancho de Reboque,Tempo de carregamento,Site,Portugal,Data
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Maio,2018,59 103 km,1 248 cm3,95 cv,,,,Citadino,Preto,,Manual,5,5,,24 Meses,Nacional,Sim,Sim,Usados,14 990        EUR,8090435420,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PvDPS.html,,,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Punto,1.3 M-Jet Lounge S&S,Diesel,Maio,2015,146 200 km,1 248 cm3,85 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,9 950        EUR,8090410226,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-lounge-s-s-ID8Pvxhv.html,6,Tracção dianteira,,,,,,Sim,21/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,BMW,116,d Pack M Auto,Diesel,Maio,2021,71 000 km,1 496 cm3,116 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,29 450        EUR,8089851854,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-auto-ID8Puc1v.html,7,Tracção dianteira,124 g/km,,,,1,Sim,,154 €,,Série 1,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Mazda,6,M6 2.2 SKY-D Excellence PLeather+Cruise P.+TAE+Navi,Diesel,Maio,2015,120 000 km,2 191 cm3,175 cv,,Sim,Sim,Sedan,Preto,Metalizado,Manual,4,5,,18 Meses,Nacional,Sim,Sim,Usados,15 500        EUR,8090704618,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mazda-6-m6-2-2-sky-d-excellence-pleather-cruise-p-tae-navi-ID8PxLRM.html,,,,,,,,Sim,15/05/2025,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,BMW,318 Gran Turismo,d Auto Line Modern,Diesel,Março,2014,184 000 km,1 995 cm3,143 cv,Sim,Sim,Sim,Sedan,Azul,Metalizado,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,17 500        EUR,8090455349,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-gran-turismo-d-auto-line-modern-ID8PvJ1j.html,,,,,,,,Sim,,,,Série 3,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited Edition,Gasolina,Junho,2020,58 573 km,898 cm3,90 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,Classe 1,36 Meses,Nacional,Sim,Sim,Usados,17 250        EUR,8090609700,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-edition-ID8PxnaQ.html,,,,,,,,,,,,,,,,01/01/0001,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Mokka,1.2 T Elegance,Gasolina,Maio,2022,20 064 km,1 199 cm3,100 cv,Sim,,,SUV / TT,Azul,,Manual,5,,,18 Meses,Nacional,,,Usados,24 990        EUR,8090591207,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-1-2-t-elegance-ID8Pximz.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Crossland,1.2 T Design & Tech,Gasolina,Abril,2022,8 291 km,1 199 cm3,110 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,22 490        EUR,8090591199,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-1-2-t-design-tech-ID8Pximr.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Crossland,1.2 T Business,Gasolina,Abril,2022,19 195 km,1 199 cm3,110 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,22 490        EUR,8090591190,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-1-2-t-business-ID8Pximi.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Kia,XCeed,1.0 T-GDI Drive,Gasolina,Junho,2022,12 267 km,998 cm3,120 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,24 490        EUR,8089773719,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-xceed-1-0-t-gdi-drive-ID8PtRHh.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Kia,XCeed,1.0 T-GDI Drive,Gasolina,Junho,2022,11 822 km,998 cm3,120 cv,Sim,,,Citadino,Branco,,Manual,5,,,18 Meses,Nacional,,,Usados,25 990        EUR,8090591180,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-xceed-1-0-t-gdi-drive-ID8Pxim8.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Corsa,1.5 D Business,Diesel,Junho,2022,14 228 km,1 499 cm3,102 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,22 200        EUR,8090591174,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-5-d-business-ID8Pxim2.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Leon,1.6 TDI Reference S/S,Diesel,Agosto,2016,128 000 km,1 598 cm3,115 cv,,Sim,Sim,SUV / TT,Preto,,Manual,5,5,,18 Meses,Importado,Sim,Sim,Usados,15 950        EUR,8090731464,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-reference-s-s-ID8PxSQM.html,5,Tracção dianteira,,,,,2,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Kia,XCeed,1.0 T-GDI Drive,Gasolina,Junho,2022,11 450 km,998 cm3,120 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,24 490        EUR,8090591165,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-xceed-1-0-t-gdi-drive-ID8PxilT.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500C,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,11 386 km,999 cm3,70 cv,Sim,,,Cabrio,Preto,,Manual,2,,,18 Meses,Nacional,,,Usados,19 990        EUR,8089773718,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-0-hybrid-dolcevita-ID8PtRHg.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Crossland,1.2 T Design & Tech,Gasolina,Abril,2022,15 336 km,1 199 cm3,110 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,22 490        EUR,8090012914,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-1-2-t-design-tech-ID8PuRWg.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Crossland,1.2 Business,Gasolina,Abril,2022,14 647 km,1 199 cm3,83 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,19 990        EUR,8090591153,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-1-2-business-ID8PxilH.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500X,1.0 FireFly City Cross,Gasolina,Fevereiro,2022,12 845 km,999 cm3,120 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,23 990        EUR,8090591122,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-0-firefly-city-cross-ID8Pxilc.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Crossland,1.2 T Design & Tech,Gasolina,Abril,2022,15 730 km,1 199 cm3,110 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,22 490        EUR,8090591112,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-1-2-t-design-tech-ID8Pxil2.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,DS,DS3,1.2 PureTech Givenchy Le MakeUp,Gasolina,Junho,2018,61 500 km,1 199 cm3,82 cv,Sim,,Sim,Citadino,Branco,,Manual,3,5,Classe 1,18 Meses,,Sim,Sim,Usados,15 990        EUR,8090325913,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds3-1-2-puretech-givenchy-le-makeup-ID8PvblD.html,5,Tracção dianteira,,"5,60 l/100km",,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A1 Sportback,1.0 TFSI S-line,Gasolina,Dezembro,2016,120 000 km,999 cm3,95 cv,Sim,,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,15 750        EUR,8089237652,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-0-tfsi-s-line-ID8PrCf2.html,5,Tracção dianteira,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,BMW,X1,18 d sDrive Auto,Diesel,Outubro,2016,72 600 km,1 995 cm3,150 cv,Sim,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,25 990        EUR,8090644357,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-sdrive-auto-ID8PxvbP.html,8,Tracção dianteira,136 g/km,,,,1,Sim,,,,Série X,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500X,1.3 FireFly Connect DCT,Gasolina,Fevereiro,2022,13 856 km,1 332 cm3,150 cv,Sim,,,Citadino,Cinzento,,Automática,5,,,18 Meses,Nacional,,,Usados,25 990        EUR,8090591098,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-firefly-connect-dct-ID8PxikO.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Março,2019,95 495 km,999 cm3,115 cv,Sim,,,Citadino,Branco,,Manual,5,,,18 Meses,Nacional,,,Usados,17 490        EUR,8090591083,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8Pxikz.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Maio,2018,109 967 km,999 cm3,115 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,16 990        EUR,8090591075,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8Pxikr.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Mercedes-Benz,C 250,CDi Avantgarde BlueEfficiency Aut.,Diesel,Março,2011,122 048 km,2 143 cm3,204 cv,Sim,,,Sedan,Cinzento,Metalizado,Automática,4,5,Classe 1,,Nacional,Sim,Sim,Usados,18 900        EUR,8090228700,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-250-cdi-avantgarde-blueefficiency-aut-ID8PwM3G.html,5,Tracção traseira,153 g/km,"8,10 l/100km","4,40 l/100km",,1,,01/03/2024,,,Classe C,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,3008,1.5 BlueHDi Active Pack,Diesel,Fevereiro,2019,166 200 km,1 499 cm3,130 cv,,,Sim,SUV / TT,Preto,Metalizado,Manual,5,5,,18 Meses,Importado,,,Usados,19 950        EUR,8089374901,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-active-pack-ID8PsbVJ.html,6,Tracção dianteira,,"4,40 l/100km",,,1,,01/02/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Maio,2018,93 708 km,999 cm3,115 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,16 990        EUR,8090591063,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8Pxikf.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Xcellence,Gasolina,Junho,2018,108 927 km,999 cm3,115 cv,Sim,,,Citadino,Vermelho,,Manual,5,,,18 Meses,Nacional,,,Usados,17 990        EUR,8090591058,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-xcellence-ID8Pxika.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Xcellence,Gasolina,Junho,2018,97 810 km,999 cm3,115 cv,Sim,,,Citadino,Azul,,Manual,5,,,18 Meses,Nacional,,,Usados,18 490        EUR,8089848132,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-xcellence-ID8Pub3u.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Leon,,Gasolina,Julho,2018,106 594 km,999 cm3,115 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,16 990        EUR,8090591043,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-ID8PxijW.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.6 TDI Style,Diesel,Junho,2018,118 675 km,1 598 cm3,95 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,17 990        EUR,8090591036,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-6-tdi-style-ID8PxijO.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ibiza,1.0 TSI Style DSG,Gasolina,Abril,2022,19 000 km,999 cm3,110 cv,Sim,Sim,Sim,Citadino,Azul,,Automática,5,,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,21 990        EUR,8089945142,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-tsi-style-dsg-ID8PuAia.html,7,Tracção dianteira,125 g/km,,,,,Sim,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,3008,1.5 BlueHDi GT Line EAT8,Diesel,Maio,2018,178 000 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,22 750        EUR,8090701330,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-gt-line-eat8-ID8PxL0K.html,8,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Julho,2018,110 259 km,999 cm3,115 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,16 990        EUR,8090591030,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8PxijI.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Julho,2018,105 268 km,999 cm3,115 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,16 990        EUR,8090591023,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8PxijB.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Leon,,Gasolina,Maio,2019,93 881 km,999 cm3,115 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,17 490        EUR,8089773715,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-ID8PtRHd.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Fevereiro,2019,93 628 km,999 cm3,115 cv,Sim,,,Citadino,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,17 990        EUR,8090591015,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8Pxijt.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Novembro,2020,78 800 km,999 cm3,100 cv,,Sim,Sim,Utilitário,Branco,,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,15 950        EUR,8089937338,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8Puygi.html,5,Tracção dianteira,118 g/km,,,,1,,,108 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A4,2.0 TDI Advance,Diesel,Dezembro,2016,221 576 km,1 968 cm3,150 cv,,Sim,Sim,Sedan,Cinzento,Metalizado,Manual,4,5,Classe 1,18 Meses,Nacional,,Sim,Usados,19 950        EUR,8089624440,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-2-0-tdi-advance-ID8PteRy.html,6,Tracção dianteira,,,,,1,,29/12/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Peugeot,308 SW,1.5 BlueHDi GT EAT8,Diesel,Agosto,2019,146 900 km,1 499 cm3,130 cv,,,,Carrinha,Azul,,Automática,5,5,,,,,,Usados,16 900        EUR,8090702529,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-gt-eat8-ID8PxLk5.html,8,Tracção dianteira,132 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A8,4.2 TDi V8 quattro,Diesel,Junho,2010,310 000 km,4 134 cm3,350 cv,Sim,,,Sedan,Preto,Metalizado,Automática,4,5,Classe 1,18 Meses,Nacional,Sim,,Usados,24 500        EUR,8089935919,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a8-4-2-tdi-v8-quattro-ID8PuxTp.html,8,Integral,199 g/km,"10,20 l/100km","6,10 l/100km",,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,2008,,Diesel,Agosto,2017,147 500 km,1 560 cm3,100 cv,,,,SUV / TT,Cinzento,Metalizado,Automática,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,15 400        EUR,8090221576,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-ID8PwKcM.html,6,Tracção dianteira,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A1 Sportback,1.6 TDI Sport,Diesel,Janeiro,2015,150 787 km,1 598 cm3,116 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,16 750        EUR,8090729710,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-6-tdi-sport-ID8PxSou.html,5,Tracção dianteira,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Astra,1.6 CDTI Business Edition S/S,Diesel,Setembro,2017,102 976 km,1 598 cm3,95 cv,Sim,,,Carrinha,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,15 990        EUR,8090591005,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-business-edition-s-s-ID8Pxijj.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A4 Avant,2.0 TDI S tronic,Diesel,Dezembro,2017,106 023 km,1 968 cm3,150 cv,Sim,,,Carrinha,Branco,,Automática,5,,,18 Meses,Nacional,,,Usados,25 990        EUR,8090590990,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Pxij4.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,3008,1.5 BlueHDi Crossway EAT8,Diesel,Julho,2018,126 312 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,22 950        EUR,8089143946,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-crossway-eat8-ID8PrdRE.html,8,Tracção dianteira,,,,,1,Sim,,"154,12 €",,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Insignia Grand Sport,1.6 CDTi Business Edition,Diesel,Junho,2019,156 941 km,1 598 cm3,110 cv,Sim,Sim,Sim,Sedan,Cinzento,,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,17 900        EUR,8090564789,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-grand-sport-1-6-cdti-business-edition-ID8Pxbut.html,6,,,,,,1,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C3,1.5 BlueHDi C-Series,Diesel,Maio,2021,51 692 km,1 499 cm3,102 cv,Sim,,,Citadino,Preto,,Manual,5,,,18 Meses,Nacional,,,Usados,19 990        EUR,8090590958,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-c-series-ID8Pxiiy.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Peugeot,3008,1.5 BlueHDi GT Line,Diesel,Março,2018,146 000 km,1 499 cm3,130 cv,,,,Monovolume,Preto,Metalizado,Manual,5,5,Classe 1,,Nacional,Sim,Sim,Usados,20 500        EUR,8090113062,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-gt-line-ID8PwhYy.html,6,Tracção dianteira,137 g/km,"4,70 l/100km","3,80 l/100km",,2,Sim,15/03/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,S-Max,2.0 TDCi Titanium,Diesel,Março,2016,160 000 km,1 997 cm3,150 cv,,,,Monovolume,Cinzento,Metalizado,Manual,5,7,Classe 1,18 Meses,Nacional,,Sim,Usados,19 990        EUR,8089252679,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-s-max-2-0-tdci-titanium-ID8PrG9p.html,6,,129 g/km,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,BMW,116,d Line Urban,Diesel,Junho,2019,138 000 km,1 496 cm3,116 cv,,,,Utilitário,Preto,Metalizado,Manual,5,,,,,,,Usados,19 900        EUR,8090716286,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-line-urban-ID8PxOTY.html,,,,,,,,,,,,Série 1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Smart,ForFour,EQ Prime,Eléctrico,Junho,2021,23 310 km,,82 cv,,,,Citadino,Preto,Metalizado,Automática,5,4,Classe 1,,Importado,Sim,Sim,Usados,21 350        EUR,8089112697,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-eq-prime-ID8Pr5JD.html,4,Tracção traseira,,,,120 km,2,Sim,18/06/2025,,,,,155 km,14 kWh/100km,21/06/2029,100 000 km,,17 kWh,Própria,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio,1.5 Blue dCi RS Line,Diesel,Junho,2020,58 130 km,1 461 cm3,115 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,19 500        EUR,8090227890,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-rs-line-ID8PwLQC.html,6,Tracção dianteira,,,,,1,Sim,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Mercedes-Benz,A 180,CDi BlueEfficiency,Diesel,Dezembro,2012,139 358 km,1 461 cm3,109 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,16 500        EUR,8090725169,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-cdi-blueefficiency-ID8PxRdf.html,6,,102 g/km,,,,,,,,,Classe A,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ibiza,1.0 TSI Style,Gasolina,Abril,2022,36 000 km,999 cm3,95 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,,Classe 1,18 Meses,,Sim,Sim,Usados,16 990        EUR,8088272694,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-tsi-style-ID8Pnzdc.html,,Tracção dianteira,,,,,1,Sim,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ateca,1.6 TDI Style,Diesel,Janeiro,2017,126 916 km,1 598 cm3,115 cv,,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,19 950        EUR,8090101041,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-6-tdi-style-ID8PweQF.html,6,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Maio,2017,178 950 km,1 598 cm3,115 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,16 750        EUR,8089624527,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PteSX.html,5,Tracção dianteira,,,,,1,,24/05/2025,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Leon ST,1.6 TDI Style S/S,Diesel,Dezembro,2016,108 959 km,1 598 cm3,110 cv,Sim,,,Carrinha,Cinzento,,Manual,5,,,18 Meses,Nacional,,,Usados,16 990        EUR,8090590952,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-s-s-ID8Pxiis.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
